,sample,Variable,Sobol index
0,complete,X1,0.5144038026792512
1,complete,X1,0.6171919591131098
2,complete,X1,0.581260883892145
3,complete,X1,0.5708600006724558
4,complete,X1,0.5899342840495712
5,complete,X1,0.6136444836835209
6,complete,X1,0.5665541853206323
7,complete,X1,0.5313034303701714
8,complete,X1,0.5890558131100817
9,complete,X1,0.6448457345961709
10,complete,X1,0.5533166202936056
11,complete,X1,0.539625123606118
12,complete,X1,0.5587240144289444
13,complete,X1,0.5421618020160195
14,complete,X1,0.5383135546586961
15,complete,X1,0.5402127837223004
16,complete,X1,0.5548692245753701
17,complete,X1,0.5940655951124542
18,complete,X1,0.5202631175428526
19,complete,X1,0.5783837784864493
20,complete,X1,0.5730145880598683
21,complete,X1,0.5471593454221629
22,complete,X1,0.5756603118856153
23,complete,X1,0.5930436951131737
24,complete,X1,0.5597198289290697
25,complete,X1,0.5490161304855136
26,complete,X1,0.527786788309972
27,complete,X1,0.5447027938276826
28,complete,X1,0.5423896707906614
29,complete,X1,0.5675062060990319
30,complete,X1,0.5217656126599861
31,complete,X1,0.5044138733282857
32,complete,X1,0.5881881685397866
33,complete,X1,0.5626248940821206
34,complete,X1,0.5554073757588889
35,complete,X1,0.5697526359505632
36,complete,X1,0.5796744714123786
37,complete,X1,0.5759704574174666
38,complete,X1,0.5439337542656777
39,complete,X1,0.6004093270634784
40,complete,X1,0.5804251051243321
41,complete,X1,0.6605809474593063
42,complete,X1,0.5263924126357677
43,complete,X1,0.5265197643813944
44,complete,X1,0.5877605997113002
45,complete,X1,0.5855156149556533
46,complete,X1,0.6185429046052254
47,complete,X1,0.602581228236543
48,complete,X1,0.548803138077797
49,complete,X1,0.4904031978740174
50,complete,X1,0.5501022271775987
51,complete,X1,0.587068732667605
52,complete,X1,0.5440010234973804
53,complete,X1,0.5794281739121829
54,complete,X1,0.5114665890326658
55,complete,X1,0.601458022798984
56,complete,X1,0.5914106051943917
57,complete,X1,0.5356136764189446
58,complete,X1,0.516258300629178
59,complete,X1,0.5545872896322434
60,complete,X1,0.5804869431235082
61,complete,X1,0.5706642580730306
62,complete,X1,0.5175604258437291
63,complete,X1,0.5356827594679866
64,complete,X1,0.5124801353667647
65,complete,X1,0.574650320535714
66,complete,X1,0.5976841586260976
67,complete,X1,0.5632698158119379
68,complete,X1,0.5689434577637222
69,complete,X1,0.5283207502416951
70,complete,X1,0.5742582891616395
71,complete,X1,0.578086695433462
72,complete,X1,0.531480286737613
73,complete,X1,0.5126010343243231
74,complete,X1,0.5577299022460535
75,complete,X1,0.5862254309719611
76,complete,X1,0.556291135466163
77,complete,X1,0.5806254927138784
78,complete,X1,0.5746089627807371
79,complete,X1,0.568139053353669
80,complete,X1,0.564163995187538
81,complete,X1,0.569513897353245
82,complete,X1,0.572209343368375
83,complete,X1,0.5868742158105145
84,complete,X1,0.5851098456477815
85,complete,X1,0.5117205660011184
86,complete,X1,0.5827763455480702
87,complete,X1,0.5552858537848469
88,complete,X1,0.577563793287949
89,complete,X1,0.613032817254581
90,complete,X1,0.5514835997299165
91,complete,X1,0.5801936166325568
92,complete,X1,0.5912058913344562
93,complete,X1,0.5508627380129665
94,complete,X1,0.5668621321502819
95,complete,X1,0.5999889684247551
96,complete,X1,0.5100616605391508
97,complete,X1,0.6555043758889144
98,complete,X1,0.6054917190113641
99,complete,X1,0.5758207816075244
100,complete,X1,0.5515917657602385
101,complete,X1,0.6408169209261589
102,complete,X1,0.5728456796978014
103,complete,X1,0.5179333173125198
104,complete,X1,0.5690129420947901
105,complete,X1,0.5519853230909252
106,complete,X1,0.5896178525013195
107,complete,X1,0.5659878702577655
108,complete,X1,0.5394478948900622
109,complete,X1,0.5666122751688549
110,complete,X1,0.5373523668104742
111,complete,X1,0.5752517092159151
112,complete,X1,0.5850020977646352
113,complete,X1,0.5785361097148342
114,complete,X1,0.4755023372599194
115,complete,X1,0.5629662225487004
116,complete,X1,0.5688359125457954
117,complete,X1,0.5769153278643336
118,complete,X1,0.5291143440693401
119,complete,X1,0.538720950921869
120,complete,X1,0.5312598521397289
121,complete,X1,0.528028682745942
122,complete,X1,0.5391573169891861
123,complete,X1,0.5761613132688899
124,complete,X1,0.5854413895927941
125,complete,X1,0.5569104488427988
126,complete,X1,0.5701006892960709
127,complete,X1,0.5531657518348396
128,complete,X1,0.5397696654859013
129,complete,X1,0.5185858085490106
130,complete,X1,0.5393348836873505
131,complete,X1,0.604746553366554
132,complete,X1,0.5419645806101085
133,complete,X1,0.6365624402711458
134,complete,X1,0.6193225074013353
135,complete,X1,0.5811658090854336
136,complete,X1,0.6109892858208867
137,complete,X1,0.5605152326022618
138,complete,X1,0.5740928762973843
139,complete,X1,0.494975482988907
140,complete,X1,0.5674920766150531
141,complete,X1,0.5428317174217107
142,complete,X1,0.5850311493313085
143,complete,X1,0.5844140786518943
144,complete,X1,0.5651955946675581
145,complete,X1,0.5499746082220732
146,complete,X1,0.5846630447245936
147,complete,X1,0.6075433233648628
148,complete,X1,0.5541923392894713
149,complete,X1,0.568684322489668
150,complete,X1,0.5381090762157364
151,complete,X1,0.5102855036760032
152,complete,X1,0.5911601026470156
153,complete,X1,0.4881330830247884
154,complete,X1,0.5478503193478922
155,complete,X1,0.5381978305947315
156,complete,X1,0.5518708695278863
157,complete,X1,0.6125790163111314
158,complete,X1,0.5760714920284098
159,complete,X1,0.5705176481648736
160,complete,X1,0.5537399437170356
161,complete,X1,0.5716355345666403
162,complete,X1,0.5740523807663901
163,complete,X1,0.5598905426769307
164,complete,X1,0.5876777653362133
165,complete,X1,0.5677364722853628
166,complete,X1,0.508512588912014
167,complete,X1,0.560855825559613
168,complete,X1,0.5988079555664203
169,complete,X1,0.594017452372335
170,complete,X1,0.6058382915254712
171,complete,X1,0.5232779120284317
172,complete,X1,0.5643150946922524
173,complete,X1,0.6125628789488189
174,complete,X1,0.6095566167941658
175,complete,X1,0.540524355515772
176,complete,X1,0.566581242383735
177,complete,X1,0.5461711545952532
178,complete,X1,0.510696093389659
179,complete,X1,0.5496461999743479
180,complete,X1,0.5810554409068757
181,complete,X1,0.5603520007792894
182,complete,X1,0.5338990000953401
183,complete,X1,0.596812848048166
184,complete,X1,0.5923288292737489
185,complete,X1,0.6509187392382283
186,complete,X1,0.5844044110566147
187,complete,X1,0.5922072092932401
188,complete,X1,0.5891941870113474
189,complete,X1,0.535320461127255
190,complete,X1,0.5634016045480322
191,complete,X1,0.572645384558846
192,complete,X1,0.5857211760123994
193,complete,X1,0.5812546580102645
194,complete,X1,0.5434879567446055
195,complete,X1,0.5570251353073306
196,complete,X1,0.585368614129529
197,complete,X1,0.5834041251353044
198,complete,X1,0.532240793392106
199,complete,X1,0.5280526149237771
200,complete,X1,0.5737360266375016
201,complete,X1,0.5539963386981968
202,complete,X1,0.5870476739241578
203,complete,X1,0.6234414704343534
204,complete,X1,0.5800195584034551
205,complete,X1,0.5703941938734542
206,complete,X1,0.5507681929679259
207,complete,X1,0.5170391986640944
208,complete,X1,0.5565567035412448
209,complete,X1,0.5351282158840284
210,complete,X1,0.5472088856103353
211,complete,X1,0.5452164485684884
212,complete,X1,0.5262584233397686
213,complete,X1,0.6032905841100972
214,complete,X1,0.5786037797819076
215,complete,X1,0.5735763474197982
216,complete,X1,0.6074769884944815
217,complete,X1,0.5088465984201432
218,complete,X1,0.5286202534444405
219,complete,X1,0.552086290050985
220,complete,X1,0.5983759197872175
221,complete,X1,0.599076638965322
222,complete,X1,0.5651766821582569
223,complete,X1,0.5650413051593793
224,complete,X1,0.5830304039168491
225,complete,X1,0.5167843032295737
226,complete,X1,0.5608984918473887
227,complete,X1,0.5819211456987106
228,complete,X1,0.5805024566755392
229,complete,X1,0.6089765388835231
230,complete,X1,0.580715868796484
231,complete,X1,0.5659001823519199
232,complete,X1,0.5662087443870151
233,complete,X1,0.5235950492248019
234,complete,X1,0.5564502551648284
235,complete,X1,0.5503992996530056
236,complete,X1,0.4811378268769034
237,complete,X1,0.5672946293643422
238,complete,X1,0.5866063645663225
239,complete,X1,0.5230293024190218
240,complete,X1,0.5460738808444068
241,complete,X1,0.5841507170582866
242,complete,X1,0.5169514888263259
243,complete,X1,0.5353350503044741
244,complete,X1,0.5011262411966271
245,complete,X1,0.5878177262814307
246,complete,X1,0.5714685044749386
247,complete,X1,0.5366035093853418
248,complete,X1,0.6158706809516599
249,complete,X1,0.4969422411161855
250,complete,X1,0.5298817091927164
251,complete,X1,0.5722066850240345
252,complete,X1,0.5791235204525846
253,complete,X1,0.541283312613416
254,complete,X1,0.5287297164736476
255,complete,X1,0.5594501381542017
256,complete,X1,0.5467616273788848
257,complete,X1,0.5670628919876086
258,complete,X1,0.576572368143614
259,complete,X1,0.5626473880196183
260,complete,X1,0.5512934652917792
261,complete,X1,0.570350049303609
262,complete,X1,0.5229019054437505
263,complete,X1,0.5885876161265392
264,complete,X1,0.5675816613595039
265,complete,X1,0.5680560509123996
266,complete,X1,0.582841727230865
267,complete,X1,0.5632356406103882
268,complete,X1,0.5648777315022199
269,complete,X1,0.5550872913189041
270,complete,X1,0.5671395454570708
271,complete,X1,0.5803055026773514
272,complete,X1,0.591351325316353
273,complete,X1,0.5315462160482783
274,complete,X1,0.5438834199622088
275,complete,X1,0.5205005641280074
276,complete,X1,0.6258342399086537
277,complete,X1,0.5301127786231769
278,complete,X1,0.5058600144027371
279,complete,X1,0.5963308910646707
280,complete,X1,0.6373471779780413
281,complete,X1,0.5829525445810768
282,complete,X1,0.553684099772848
283,complete,X1,0.5186890088054249
284,complete,X1,0.5570227443507081
285,complete,X1,0.6166952078373793
286,complete,X1,0.5178417097902512
287,complete,X1,0.5620447671946216
288,complete,X1,0.5628293570087606
289,complete,X1,0.5734259161936324
290,complete,X1,0.6001221547263624
291,complete,X1,0.5544599803664121
292,complete,X1,0.59425259106883
293,complete,X1,0.5248830406170938
294,complete,X1,0.5639905382933674
295,complete,X1,0.5581406072385351
296,complete,X1,0.58324805027926
297,complete,X1,0.6397468625177919
298,complete,X1,0.5513551924982661
299,complete,X1,0.5460174121285313
300,complete,X1,0.5035978313414753
301,complete,X1,0.5897971516417091
302,complete,X1,0.5454346312576684
303,complete,X1,0.5341036659247712
304,complete,X1,0.5778481222117677
305,complete,X1,0.5492064303270887
306,complete,X1,0.5526076778912031
307,complete,X1,0.5254501264535787
308,complete,X1,0.5520262986151132
309,complete,X1,0.5256500457675554
310,complete,X1,0.5913485644768044
311,complete,X1,0.5888980420975148
312,complete,X1,0.528879538944645
313,complete,X1,0.5860662654293175
314,complete,X1,0.5365207040983484
315,complete,X1,0.5789396461352215
316,complete,X1,0.6071982295471465
317,complete,X1,0.5353249258609614
318,complete,X1,0.5698496274551629
