,sample,Variable,Sobol index
0,complete,X1,0.5271238551270734
1,complete,X1,0.509300518507284
2,complete,X1,0.5118692174421159
3,complete,X1,0.49578534385048506
4,complete,X1,0.4661761423663537
5,complete,X1,0.5180636552588869
6,complete,X1,0.5088965860243994
7,complete,X1,0.5024924824658853
8,complete,X1,0.5287593096304497
9,complete,X1,0.5241308896638007
10,complete,X1,0.4372211372901528
11,complete,X1,0.5176368099899346
12,complete,X1,0.4765501638587674
13,complete,X1,0.48279964208201614
14,complete,X1,0.4842316779588261
15,complete,X1,0.48054440643683444
16,complete,X1,0.48559653508686984
17,complete,X1,0.5050382565120392
18,complete,X1,0.5054579777638621
19,complete,X1,0.4697486024290979
20,complete,X1,0.4542147180583489
21,complete,X1,0.5277577651092141
22,complete,X1,0.5333606109452065
23,complete,X1,0.4878428389743611
24,complete,X1,0.4847047862608697
25,complete,X1,0.49883918552503864
26,complete,X1,0.4938325546368862
27,complete,X1,0.5303341109842805
28,complete,X1,0.5292413187443868
29,complete,X1,0.4655637125777724
30,complete,X1,0.4954044072691084
31,complete,X1,0.542058975281925
32,complete,X1,0.4796338530726794
33,complete,X1,0.5301348404299336
34,complete,X1,0.5255554651165245
35,complete,X1,0.500915416966042
36,complete,X1,0.545559101116365
37,complete,X1,0.490927416160119
38,complete,X1,0.516143472006473
39,complete,X1,0.47716431457789005
40,complete,X1,0.49163842737959906
41,complete,X1,0.4626880049017392
42,complete,X1,0.47511654112669227
43,complete,X1,0.5358147864448675
44,complete,X1,0.5191207613502099
45,complete,X1,0.4800739224894737
46,complete,X1,0.4915532218349357
47,complete,X1,0.5251439348251381
48,complete,X1,0.46771129236835446
49,complete,X1,0.4588663510925715
50,complete,X1,0.511773563100019
51,complete,X1,0.5052713131974432
52,complete,X1,0.48001706966026564
53,complete,X1,0.4730824534348386
54,complete,X1,0.4732289792186783
55,complete,X1,0.49951210285464803
56,complete,X1,0.5177115372823751
57,complete,X1,0.47954492869811977
58,complete,X1,0.4658503866033196
59,complete,X1,0.49930534653785114
60,complete,X1,0.4951118180586984
61,complete,X1,0.5097688864596805
62,complete,X1,0.4775439561135321
63,complete,X1,0.5300724620500966
64,complete,X1,0.510103755648654
65,complete,X1,0.46197627227217364
66,complete,X1,0.49994771831815227
67,complete,X1,0.510868346177219
68,complete,X1,0.47585529386604175
69,complete,X1,0.46599192741931084
70,complete,X1,0.48384693648161314
71,complete,X1,0.4920015605577884
72,complete,X1,0.5082251341725005
73,complete,X1,0.5257995447050708
74,complete,X1,0.469355983486369
75,complete,X1,0.4694954876831031
76,complete,X1,0.5142876012500215
77,complete,X1,0.4970261008975911
78,complete,X1,0.5260040811899404
79,complete,X1,0.5362718494167563
80,complete,X1,0.5290741737914044
81,complete,X1,0.5089137100623533
82,complete,X1,0.4595015067953361
83,complete,X1,0.43992544384074245
84,complete,X1,0.4696423090863548
85,complete,X1,0.5144928413958899
86,complete,X1,0.46461772988351796
87,complete,X1,0.5246611959695471
88,complete,X1,0.488690534801635
89,complete,X1,0.46114817040679656
90,complete,X1,0.44251631434583666
91,complete,X1,0.47630648176740975
92,complete,X1,0.5251701095469746
93,complete,X1,0.508245750167676
94,complete,X1,0.49923512278240195
95,complete,X1,0.5276162011667251
96,complete,X1,0.5168203122293128
97,complete,X1,0.5001536634957329
98,complete,X1,0.4950911032434626
99,complete,X1,0.5386798556093008
100,complete,X1,0.48484115341980344
101,complete,X1,0.5198915473037035
102,complete,X1,0.49397325777066237
103,complete,X1,0.4982087962871836
104,complete,X1,0.48484756410132807
105,complete,X1,0.5097485031794623
106,complete,X1,0.509443160349305
