,sample,Variable,Sobol index
0,complete,X1,0.580661275177887
1,complete,X1,0.5680772860953381
2,complete,X1,0.5546960800411159
3,complete,X1,0.5916801699212563
4,complete,X1,0.5613963313854818
5,complete,X1,0.5490470826833306
6,complete,X1,0.5684116480616775
7,complete,X1,0.5424532807647823
8,complete,X1,0.5796240323049893
9,complete,X1,0.5692119370283262
10,complete,X1,0.5441356503859238
11,complete,X1,0.4734988130293138
12,complete,X1,0.5029608677932809
13,complete,X1,0.5727919917472268
14,complete,X1,0.5333674156834622
15,complete,X1,0.5637540491368948
16,complete,X1,0.5259504228241626
17,complete,X1,0.5405434452101561
18,complete,X1,0.525719194606371
19,complete,X1,0.6092065678998299
20,complete,X1,0.6023470148370542
21,complete,X1,0.6088036949684266
22,complete,X1,0.5696137765726459
23,complete,X1,0.5932004916563194
24,complete,X1,0.5265916241125399
25,complete,X1,0.5765134337166599
26,complete,X1,0.5445479698637409
27,complete,X1,0.5639035176126287
28,complete,X1,0.5820418350614814
29,complete,X1,0.535944458801225
30,complete,X1,0.5923744635086936
31,complete,X1,0.5557868549780379
32,complete,X1,0.6024179418064335
33,complete,X1,0.5732782374431584
34,complete,X1,0.5986278157668957
35,complete,X1,0.5466616746650258
36,complete,X1,0.5793745441931742
37,complete,X1,0.5856411325359066
38,complete,X1,0.569398498829633
39,complete,X1,0.4917717615349951
40,complete,X1,0.5736515612488684
41,complete,X1,0.5602201675241202
42,complete,X1,0.5887813651650347
43,complete,X1,0.5780043472502402
44,complete,X1,0.5897637203021471
45,complete,X1,0.5473841788172704
46,complete,X1,0.6079908967618205
47,complete,X1,0.575062364056764
48,complete,X1,0.604632481392005
49,complete,X1,0.5381686351397844
50,complete,X1,0.5519292763853855
51,complete,X1,0.5658535493633119
52,complete,X1,0.5960674345082675
53,complete,X1,0.5652338888151544
54,complete,X1,0.564877658430018
55,complete,X1,0.6005435022121646
56,complete,X1,0.5628997474607754
57,complete,X1,0.596159808765284
58,complete,X1,0.5510113156863197
59,complete,X1,0.5279036715113525
60,complete,X1,0.5552382207795191
61,complete,X1,0.5422406177866373
62,complete,X1,0.5328764301249561
63,complete,X1,0.5703635677972749
64,complete,X1,0.5404863599288429
65,complete,X1,0.5856034218620709
66,complete,X1,0.6027683193881449
67,complete,X1,0.634003960564335
68,complete,X1,0.6134225888331579
69,complete,X1,0.5552953584171677
70,complete,X1,0.5797802327104654
71,complete,X1,0.5623576203755684
72,complete,X1,0.5676266239568989
73,complete,X1,0.5766145600016893
74,complete,X1,0.6031824991820577
75,complete,X1,0.634593580626904
76,complete,X1,0.5812748581225712
77,complete,X1,0.5300775475008279
78,complete,X1,0.5952751800325851
79,complete,X1,0.5697713761477882
80,complete,X1,0.5821171783936856
81,complete,X1,0.5723957464216745
82,complete,X1,0.5850201970488872
83,complete,X1,0.540781597373356
84,complete,X1,0.5694318092778952
85,complete,X1,0.5356602084911692
86,complete,X1,0.5567893839521586
87,complete,X1,0.5283413360815526
88,complete,X1,0.5806828707100457
89,complete,X1,0.5662672268079004
90,complete,X1,0.58510147473465
91,complete,X1,0.5700945562123831
92,complete,X1,0.5990739661047748
93,complete,X1,0.548763624280675
94,complete,X1,0.5967157154964845
95,complete,X1,0.6026681078257236
96,complete,X1,0.5190378828171871
97,complete,X1,0.5890600151610426
98,complete,X1,0.5382944528064197
